fullpart_time,gender,months_work,respect,hr_wage,fullpart_time_char,gender_char
(1) Full-time worker,(2) Female,12,(4) Disagree,NA,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,8.6538461538499991,Full-time,Female
(1) Full-time worker,(2) Female,9,(3) Neither agree nor disagree,4.44444444445,Full-time,Female
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,10,Full-time,Female
(2) Part-time worker,(2) Female,9,(1) Strongly agree,8.5,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,20.83333333334,Full-time,Female
(1) Full-time worker,(2) Female,7,(2) Agree,10.5,Full-time,Female
(1) Full-time worker,(2) Female,8,(1) Strongly agree,12,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA,Full-time,Female
(1) Full-time worker,(2) Female,9,(1) Strongly agree,7.89473684211,Full-time,Female
(2) Part-time worker,(2) Female,11,(1) Strongly agree,3.30882352941,Part-time,Female
(1) Full-time worker,(2) Female,11,(2) Agree,11.22,Full-time,Female
(1) Full-time worker,(2) Female,9,NA,11.11111111112,Full-time,Female
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,14.5,Full-time,Female
(2) Part-time worker,(2) Female,2,(2) Agree,11.1,Part-time,Female
(2) Part-time worker,(2) Female,10,(1) Strongly agree,11.2,Part-time,Female
(1) Full-time worker,(2) Female,10,(2) Agree,11.8918918919,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,9.06,Full-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,8.33333333334,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15.96,Full-time,Female
(2) Part-time worker,(2) Female,6,(2) Agree,NA,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,13.2,Full-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,15,Part-time,Female
(1) Full-time worker,(2) Female,10,NA,NA,Full-time,Female
(2) Part-time worker,(2) Female,7,(1) Strongly agree,10,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12,Full-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,11.5,Part-time,Female
