fullpart_time,gender,months_work,respect,hr_wage
(1) Full-time worker,(2) Female,12,(4) Disagree,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,8.6538461538499991
(1) Full-time worker,(2) Female,9,(3) Neither agree nor disagree,4.44444444445
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,10
(2) Part-time worker,(2) Female,9,(1) Strongly agree,8.5
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15
(1) Full-time worker,(2) Female,12,(1) Strongly agree,20.83333333334
(1) Full-time worker,(2) Female,7,(2) Agree,10.5
(1) Full-time worker,(2) Female,8,(1) Strongly agree,12
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,9,(1) Strongly agree,7.89473684211
(2) Part-time worker,(2) Female,11,(1) Strongly agree,3.30882352941
(1) Full-time worker,(2) Female,11,(2) Agree,11.22
(1) Full-time worker,(2) Female,9,NA,11.11111111112
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,14.5
(2) Part-time worker,(2) Female,2,(2) Agree,11.1
(2) Part-time worker,(2) Female,10,(1) Strongly agree,11.2
(1) Full-time worker,(2) Female,10,(2) Agree,11.8918918919
(1) Full-time worker,(2) Female,12,(2) Agree,9.06
(2) Part-time worker,(2) Female,12,(2) Agree,8.33333333334
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15.96
(2) Part-time worker,(2) Female,6,(2) Agree,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,13.2
(2) Part-time worker,(2) Female,12,(2) Agree,15
(1) Full-time worker,(2) Female,10,NA,NA
(2) Part-time worker,(2) Female,7,(1) Strongly agree,10
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12
(2) Part-time worker,(2) Female,12,(2) Agree,11.5
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,20
(1) Full-time worker,(2) Female,12,(2) Agree,14.58333333334
(2) Part-time worker,(2) Female,10,(1) Strongly agree,25
(2) Part-time worker,(2) Female,9,(1) Strongly agree,12.16
(2) Part-time worker,(2) Female,2,(2) Agree,10.75
(1) Full-time worker,(2) Female,2,(2) Agree,NA
(1) Full-time worker,(1) Male,12,(1) Strongly agree,7.69230769231
(2) Part-time worker,(2) Female,12,(2) Agree,8.39160839161
(1) Full-time worker,(2) Female,9,(2) Agree,13.7125
(1) Full-time worker,(2) Female,9,(2) Agree,15
(2) Part-time worker,(2) Female,12,(2) Agree,20
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,10,(1) Strongly agree,31.93277310925
(1) Full-time worker,(2) Female,12,(1) Strongly agree,7.5
(2) Part-time worker,(2) Female,12,NA,12.5
(1) Full-time worker,(2) Female,12,(2) Agree,14
(1) Full-time worker,(2) Female,12,(2) Agree,10
(1) Full-time worker,(2) Female,12,(1) Strongly agree,8
(1) Full-time worker,(2) Female,8,(4) Disagree,10
(1) Full-time worker,(2) Female,12,(1) Strongly agree,17.09401709402
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,12,(2) Agree,15.75
(2) Part-time worker,(2) Female,9,(1) Strongly agree,14.67
(1) Full-time worker,(2) Female,12,(1) Strongly agree,28.44444444445
(1) Full-time worker,(2) Female,12,(1) Strongly agree,26
(1) Full-time worker,(2) Female,12,(2) Agree,16
(1) Full-time worker,(2) Female,11,(3) Neither agree nor disagree,107.5
(1) Full-time worker,(2) Female,12,NA,NA
(2) Part-time worker,(2) Female,10,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,17
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,13.725
(1) Full-time worker,(2) Female,NA,(2) Agree,22.52252252253
(2) Part-time worker,(2) Female,3,(2) Agree,15
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,NA,12.85714285715
(1) Full-time worker,(2) Female,8,(1) Strongly agree,14
(1) Full-time worker,(2) Female,12,(5) Strongly disagree,31.54761904762
(1) Full-time worker,(2) Female,12,(2) Agree,14.5
(2) Part-time worker,(2) Female,12,(2) Agree,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,10
(1) Full-time worker,(2) Female,12,(1) Strongly agree,16
(1) Full-time worker,(2) Female,12,(1) Strongly agree,10
(1) Full-time worker,(2) Female,12,(1) Strongly agree,11
NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,12,(1) Strongly agree,14.5
(1) Full-time worker,(2) Female,8,(1) Strongly agree,17.72
(2) Part-time worker,(2) Female,10,(1) Strongly agree,13
(1) Full-time worker,(2) Female,12,(2) Agree,16.5
