hourly_wage,staff_role,race,education,birth_year,depression,staff_age,staff_age_new,hr_wage_new
NA,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1975,4,44,Between 41 and 50,NA
8.6538461538499991,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1973,0,46,Between 41 and 50,Less than $10
4.44444444445,(1) Aide or assistant teacher,(1) White Only,(3) GED or high school equivalency,1976,17,43,Between 41 and 50,Less than $10
10,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1960,14,59,More than 51,Less than $10
8.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1998,3,21,Between 20 and 40,Less than $10
15,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1960,3,59,More than 51,Between $11 and $20
20.83333333334,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1965,7,54,More than 51,NA
10.5,(1) Aide or assistant teacher,NA,(4) High school graduate,1986,1,33,Between 20 and 40,NA
12,(1) Aide or assistant teacher,(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1968,1,51,More than 51,Between $11 and $20
NA,(1) Aide or assistant teacher,NA,(4) High school graduate,1995,0,24,Between 20 and 40,NA
7.89473684211,(1) Aide or assistant teacher,(2) Black or African American Only,(5) Some college credit but no degree,1958,0,61,More than 51,Less than $10
3.30882352941,"(2) Teacher, instructor, or lead teacher",(3) Asian Only,(5) Some college credit but no degree,1975,1,44,Between 41 and 50,Less than $10
11.22,(1) Aide or assistant teacher,(2) Black or African American Only,(5) Some college credit but no degree,1950,3,69,More than 51,Between $11 and $20
11.11111111112,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1972,6,47,Between 41 and 50,Between $11 and $20
14.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1965,5,54,More than 51,Between $11 and $20
11.1,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1984,1,35,Between 20 and 40,Between $11 and $20
11.2,(1) Aide or assistant teacher,(1) White Only,(4) High school graduate,1998,4,21,Between 20 and 40,Between $11 and $20
11.8918918919,"(2) Teacher, instructor, or lead teacher",(3) Asian Only,"(7) Bachelor's degree (BA, BS, AB)",1991,6,28,Between 20 and 40,Between $11 and $20
9.06,(1) Aide or assistant teacher,NA,(4) High school graduate,1975,3,44,Between 41 and 50,Less than $10
8.33333333334,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(1) Less than High School,1961,3.5,58,More than 51,Less than $10
15.96,(3) Other/undetermined,(3) Asian Only,(5) Some college credit but no degree,1974,0,45,Between 41 and 50,Between $11 and $20
NA,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1987,5,32,Between 20 and 40,NA
13.2,(1) Aide or assistant teacher,(1) White Only,(4) High school graduate,1989,2.333333333333,30,Between 20 and 40,Between $11 and $20
15,(1) Aide or assistant teacher,(1) White Only,(1) Less than High School,1950,1,69,More than 51,Between $11 and $20
NA,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,NA,NA,NA,NA,NA
10,(1) Aide or assistant teacher,(1) White Only,(4) High school graduate,1993,2,26,Between 20 and 40,Less than $10
12,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1984,3,35,Between 20 and 40,Between $11 and $20
11.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1987,1,32,Between 20 and 40,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1980,5,39,Between 20 and 40,Between $11 and $20
14.58333333334,"(2) Teacher, instructor, or lead teacher",(8) Other,(5) Some college credit but no degree,1993,4,26,Between 20 and 40,Between $11 and $20
25,"(2) Teacher, instructor, or lead teacher",(3) Asian Only,"(7) Bachelor's degree (BA, BS, AB)",1983,3,36,Between 20 and 40,Between $21 and $30
12.16,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1998,2,21,Between 20 and 40,Between $11 and $20
10.75,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1998,6,21,Between 20 and 40,NA
NA,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(7) Bachelor's degree (BA, BS, AB)",1978,0,41,Between 41 and 50,NA
7.69230769231,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1965,0,54,More than 51,Less than $10
